Year,Country/ State/ UT Name,All Categories - Male,All Categories - Female,All Categories - Total,SC - Male,SC - Female,SC - Total,ST - Male,ST - Female,ST - Total
2010-11,Andaman & Nicobar Islands,9.60,13.40,11.40,NA,NA,NA,4.40,8.80,6.60
2010-11,Andhra Pradesh,32.10,24.40,28.40,29.80,21.90,25.90,31.50,16.80,23.80
2010-11,Arunachal Pradesh,33.60,19.50,26.90,100.00,66.00,100.00,24.30,16.10,20.10
2010-11,Assam,13.30,13.40,13.40,10.40,12.20,11.20,13.50,13.20,13.40
2010-11,Bihar,11.80,9.10,10.50,7.00,4.70,5.90,20.90,19.70,20.30
2010-11,Chandigarh,42.20,40.40,41.40,12.10,20.80,16.00,NA,NA,NA
2010-11,Chhatisgarh,15.80,11.40,13.60,12.20,10.30,11.30,5.90,4.90,5.40
2010-11,Dadra & Nagar Haveli,3.50,3.90,3.60,2.30,4.40,3.30,1.90,1.10,1.50
2010-11,Daman & Diu,2.70,5.60,3.50,11.10,23.00,16.10,10.70,5.30,8.40
2010-11,Delhi,35.00,29.80,32.50,11.70,8.70,10.20,NA,NA,NA
2010-11,Goa,31.00,35.80,33.20,26.40,24.10,25.20,100.00,100.00,100.00
2010-11,Gujarat,23.50,18.80,21.30,19.80,15.60,17.80,11.30,9.30,10.30
2010-11,Haryana,27.20,20.70,24.10,16.50,11.50,14.20,NA,NA,NA
2010-11,Himachal Pradesh,25.90,26.00,26.00,13.50,13.90,13.70,29.60,29.70,29.60
2010-11,Jammu and Kashmir,17.00,16.70,16.80,6.40,6.40,6.40,5.60,2.40,4.10
2010-11,Jharkhand,8.80,7.50,8.10,5.70,4.00,4.90,5.90,6.50,6.20
2010-11,Karnataka,26.60,24.30,25.50,21.20,18.30,19.80,19.50,16.30,18.00
2010-11,Kerala,18.80,25.10,21.90,10.30,18.10,14.20,17.40,19.10,18.30
2010-11,Lakshadweep,0.00,0.00,0.00,NA,NA,NA,0.00,0.00,0.00
2010-11,Madhya Pradesh,15.10,11.90,13.60,12.30,8.30,10.40,6.20,3.60,4.90
2010-11,Maharashtra,30.70,24.20,27.60,32.70,24.90,28.90,16.20,8.70,12.30
2010-11,Manipur,38.50,33.30,35.90,100.00,100.00,100.00,44.60,34.40,39.50
2010-11,Meghalaya,15.30,19.80,17.50,35.30,32.10,33.90,12.90,17.20,15.10
2010-11,Mizoram,22.00,21.10,21.60,100.00,100.00,100.00,21.40,19.50,20.40
2010-11,Nagaland,25.80,16.90,21.50,NA,NA,NA,15.90,15.60,15.80
2010-11,Odisha,18.10,14.10,16.10,10.70,8.20,9.50,6.80,5.20,6.00
2010-11,Puducherry,32.60,29.90,31.20,28.90,23.20,26.00,NA,NA,NA
2010-11,Punjab,23.60,14.50,19.40,8.10,6.40,7.30,NA,NA,NA
2010-11,Rajasthan,20.90,15.20,18.20,13.50,8.50,11.20,15.70,10.30,13.00
2010-11,Sikkim,26.00,22.20,24.20,12.40,11.30,11.80,16.40,22.20,19.30
2010-11,Tamil Nadu,36.50,29.10,32.90,23.40,19.90,21.70,30.60,17.50,23.70
2010-11,Tripura,16.00,11.00,13.60,11.70,8.40,10.10,7.90,4.90,6.30
2010-11,Uttar Pradesh,15.20,17.40,16.30,11.20,12.40,11.70,100.00,100.00,100.00
2010-11,Uttrakhand,26.10,29.60,27.80,17.50,18.00,17.70,42.20,46.30,44.20
2010-11,West Bengal,13.80,10.90,12.40,7.80,5.80,6.90,7.30,4.80,6.00
2010-11,All India,20.80,17.90,19.40,14.60,12.30,13.50,12.90,9.50,11.20
2011-12,Andaman & Nicobar Islands,11.00,13.80,12.30,NA,NA,NA,4.60,10.00,7.20
2011-12,Andhra Pradesh,33.30,26.40,29.90,28.20,22.90,25.60,29.50,19.20,24.20
2011-12,Arunachal Pradesh,22.50,20.20,21.30,NA,NA,NA,27.10,22.70,24.80
2011-12,Assam,14.60,14.80,14.70,12.80,12.20,12.50,15.70,16.00,15.90
2011-12,Bihar,14.00,10.80,12.50,9.40,6.10,7.80,15.90,14.00,15.00
2011-12,Chandigarh,33.20,54.40,42.20,15.30,22.50,18.50,NA,NA,NA
2011-12,Chhatisgarh,11.00,10.10,10.50,8.80,7.30,8.10,4.90,4.50,4.70
2011-12,Dadra & Nagar Haveli,6.40,6.40,6.40,6.50,5.80,6.20,2.90,0.90,1.90
2011-12,Daman & Diu,3.00,6.20,3.90,11.60,18.50,14.80,17.40,7.50,12.50
2011-12,Delhi,38.90,39.00,38.90,19.70,17.00,18.50,NA,NA,NA
2011-12,Goa,21.50,25.90,23.50,21.00,24.50,22.70,11.80,13.60,12.70
2011-12,Gujarat,18.10,14.70,16.50,18.30,15.10,16.80,9.50,8.70,9.10
2011-12,Haryana,28.30,27.70,28.00,18.30,16.60,17.50,NA,NA,NA
2011-12,Himachal Pradesh,24.60,25.10,24.80,13.90,13.90,13.90,19.00,19.60,19.30
2011-12,Jammu and Kashmir,21.80,24.00,22.80,8.90,12.10,10.50,8.00,5.80,6.90
2011-12,Jharkhand,10.20,9.50,9.90,6.50,4.90,5.80,5.30,6.00,5.60
2011-12,Karnataka,24.90,22.70,23.80,17.50,14.20,15.80,15.80,12.70,14.30
2011-12,Kerala,17.80,25.60,21.80,12.00,21.80,16.90,12.90,15.00,14.00
2011-12,Lakshadweep,6.20,17.50,11.50,NA,NA,NA,1.50,4.90,3.20
2011-12,Madhya Pradesh,22.00,14.60,18.50,13.70,10.90,12.40,8.40,5.80,7.10
2011-12,Maharashtra,28.10,24.30,26.30,25.70,22.00,23.90,14.20,8.60,11.40
2011-12,Manipur,30.40,29.90,30.20,55.00,54.60,54.80,20.50,18.20,19.40
2011-12,Meghalaya,16.30,18.50,17.40,33.50,32.50,33.00,13.60,16.10,14.90
2011-12,Mizoram,19.60,18.30,19.00,78.40,112.70,90.80,20.00,18.40,19.20
2011-12,Nagaland,18.20,13.40,15.80,NA,NA,NA,11.70,12.80,12.30
2011-12,Odisha,18.30,15.00,16.60,10.00,8.40,9.20,7.20,6.00,6.60
2011-12,Puducherry,40.40,36.30,38.30,31.30,26.60,28.80,NA,NA,NA
2011-12,Punjab,22.40,23.60,23.00,8.00,8.80,8.40,NA,NA,NA
2011-12,Rajasthan,20.60,15.50,18.20,14.10,9.30,11.80,15.10,10.10,12.70
2011-12,Sikkim,28.90,27.40,28.20,28.90,26.80,27.80,15.60,22.40,19.00
2011-12,Tamil Nadu,43.20,36.80,40.00,30.30,26.70,28.50,36.10,29.10,32.50
2011-12,Tripura,14.60,10.20,12.40,12.60,8.50,10.60,8.30,4.80,6.40
2011-12,Uttar Pradesh,17.50,17.20,17.40,12.60,13.20,12.90,23.60,17.20,20.50
2011-12,Uttrakhand,30.10,32.30,31.10,17.10,17.20,17.20,39.10,41.40,40.20
2011-12,West Bengal,15.40,11.80,13.60,10.20,7.60,9.00,7.70,5.30,6.40
2011-12,All India,22.10,19.40,20.80,15.80,13.90,14.90,12.40,9.70,11.00
2012-13,Andaman & Nicobar Islands,17.80,22.70,20.20,NA,NA,NA,4.20,10.80,7.40
2012-13,Andhra Pradesh,31.00,23.60,27.30,24.80,19.80,22.30,25.90,17.00,21.20
2012-13,Arunachal Pradesh,18.30,19.80,19.00,NA,NA,NA,23.60,24.40,24.00
2012-13,Assam,14.00,13.70,13.80,14.40,14.10,14.30,16.70,16.70,16.70
2012-13,Bihar,14.40,11.60,13.10,10.30,6.60,8.50,16.00,13.10,14.60
2012-13,Chandigarh,51.80,58.30,54.60,23.60,23.80,23.70,NA,NA,NA
2012-13,Chhatisgarh,13.20,11.70,12.40,11.70,9.60,10.70,6.90,5.90,6.40
2012-13,Dadra & Nagar Haveli,5.70,7.10,6.20,5.80,6.90,6.30,3.50,1.40,2.40
2012-13,Daman & Diu,3.30,6.90,4.30,16.50,14.30,15.50,16.50,9.50,13.00
2012-13,Delhi,38.70,40.80,39.60,22.50,20.60,21.60,NA,NA,NA
2012-13,Goa,19.80,31.00,24.90,23.70,25.10,24.40,13.20,16.90,15.00
2012-13,Gujarat,20.20,16.20,18.30,22.60,17.80,20.40,11.40,10.50,11.00
2012-13,Haryana,28.80,26.60,27.80,18.50,15.70,17.20,NA,NA,NA
