School Type,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Primary School,India,Total,NA,NA,NA,107.8,108.39,111.4,113.97,114.3,113.8,116
Primary School,India,Boy,NA,NA,NA,110.7,111.67,114.59,115.26,114.7,113.8,115.4
Primary School,India,Girl,NA,NA,NA,104.67,104.86,108,112.58,114,113.8,116.7
Primary School,Andaman and Nicobar Islands,Total,87,116.38,116.05,108.85,101.62,105.96,101.77,87.4,86.7,86.2
Primary School,Andaman and Nicobar Islands,Boy,NA,NA,NA,109.75,101.59,105.2,99.01,87.4,87.5,87.5
Primary School,Andaman and Nicobar Islands,Girl,NA,NA,NA,107.9,101.66,106.78,104.86,87.5,85.9,84.9
Primary School,Andhra Pradesh,Total,103.97,95.93,87.72,96.71,94.87,96.47,95.5,96.3,98.1,99.5
Primary School,Andhra Pradesh,Boy,NA,NA,NA,96.05,94.39,96.33,95.32,96,98,99.7
Primary School,Andhra Pradesh,Girl,NA,NA,NA,97.4,95.35,96.6,95.69,96.7,98.3,99.4
Primary School,Arunachal Pradesh,Total,114.43,105.93,109.56,123.12,132.16,136.6,142.97,154.8,166.7,180.8
Primary School,Arunachal Pradesh,Boy,NA,NA,NA,129.95,138.99,143.62,149.05,159,169.9,184.5
Primary School,Arunachal Pradesh,Girl,NA,NA,NA,115.9,124.94,129.29,136.62,150.4,163.4,176.9
Primary School,Assam,Total,117.43,86.83,88.16,105.2,94.76,98.42,106.09,107.3,92.8,94.3
Primary School,Assam,Boy,NA,NA,NA,105.59,94.41,97.63,106.04,107.4,91.6,93.1
Primary School,Assam,Girl,NA,NA,NA,104.8,95.12,99.23,106.15,107.2,94.1,95.6
Primary School,Bihar,Total,78.7,73.52,72.57,83.75,87.2,94.67,104.39,110.7,117.8,127.7
Primary School,Bihar,Boy,NA,NA,NA,95.4,99.21,106.34,114.51,119.9,125.6,131.3
Primary School,Bihar,Girl,NA,NA,NA,71.18,74.36,82.32,93.61,100.8,109.2,123.6
Primary School,Chandigarh,Total,55.29,72.61,71.44,74.01,60.47,89.55,96.14,76,75.7,78.4
Primary School,Chandigarh,Boy,NA,NA,NA,77.8,63.85,97.71,102.37,76.7,76,78.6
Primary School,Chandigarh,Girl,NA,NA,NA,69.94,56.85,80.83,89.45,75.3,75.3,78.1
Primary School,Chhattisgarh,Total,116.12,104.45,123.29,131.84,120.16,123.19,125.52,138.7,123.4,122.8
Primary School,Chhattisgarh,Boy,NA,NA,NA,136.06,123.95,127.18,128.77,141.9,126.3,125.6
Primary School,Chhattisgarh,Girl,NA,NA,NA,127.53,116.3,119.13,122.18,135.4,120.5,120
Primary School,Dadra and Nagar Haveli,Total,124.37,126.99,126.06,134.5,143.66,158.46,173.82,111.3,110.5,105.6
